Country,Country Code,Year,inflation_rate,unemployment_rate,debt_to_gdp_ratio,foreign_direct_investment,population,population_density_km,years_existed,conflict_count,gdp_nominal,gdp_ppp_per_capita,gdp_nominal_per_capita,gini_coefficient,human_development_index,gross_external_debt
Armenia,ARM,2022,8.64091108973855,8.608,46.5518986672351,5.11469865492905,2780469.0,,73.372,,19513474648.2429,20445.098880893,7018.05150434798,27.9,,14715170887.6
Armenia,ARM,2021,7.18483629443371,10.012,60.080359768226,2.64030281211345,2790974.0,98.0321039690903,72.043,2.18561731238222,13878908628.9378,16899.0709181676,4972.78320361917,27.9,,13801512363.2
Armenia,ARM,2020,1.21143577838465,12.18,63.4012140067668,0.463408850763634,2805608.0,98.5461187214612,72.173,1.85343036991797,12641698583.2152,15523.4653938859,4505.86774175695,25.1,0.578998804092407,12599980395.5
Armenia,ARM,2019,1.44344660770698,12.2,50.0284206863703,0.736361516844353,2820602.0,99.0727783631893,75.439,2.58810044595098,13619290539.2116,15729.1496950576,4828.50488626598,30.0,,11884488146.3
Armenia,ARM,2018,2.52023382001638,13.212,,2.14204783415544,2836557.0,99.6331928345627,75.064,1.76270034411436,12457940694.7395,13478.7627947124,4391.92326991474,34.4,0.58172595500946,10725730268.9
Armenia,ARM,2017,0.969553268816138,12.968,,2.19257337687685,2851923.0,100.17291886196,74.906,2.45448421994563,11527458709.0158,12605.337955959,4041.99507105058,33.6,0.572,10228295738.5
Armenia,ARM,2016,-1.403607559009,12.732,,3.16536727816995,2865835.0,100.661573586231,74.664,3.03576444561533,10546136235.5219,11036.7222919191,3679.95234740376,32.5,,9855623087.1
Armenia,ARM,2015,3.73169119261693,12.468,,1.74473701796819,2878595.0,101.109764664559,74.436,2.60543817477592,10553337518.414,10183.9279276811,3666.14182210905,32.4,,8831021220.8
Armenia,ARM,2014,2.98130868933672,12.201,,3.50211415457343,2889930.0,101.507903055848,74.058,2.49141025758587,11609513246.7958,10153.5556108742,4017.22991449473,31.5,,8555656187.0
Aruba,ABW,2023,,,,,106277.0,,,,,,,,,
Aruba,ABW,2022,,,,7.00058502573112,106445.0,,74.992,,3544707788.05664,45236.0212143789,33300.8388187011,,,
Aruba,ABW,2021,,,,4.30348689635655,106537.0,591.872222222222,74.626,,3103184101.51354,38226.146156979,29127.7593841909,,,
Aruba,ABW,2020,,,,6.29436798220279,106585.0,592.138888888889,75.723,,2558906303.88098,30437.2025162434,24008.1278217477,,,
Aruba,ABW,2019,4.25746204335428,,,-2.21528256776249,106442.0,591.344444444444,76.248,,3395798882.68156,40124.7579975465,31902.8098183195,,,
Aruba,ABW,2018,3.62604141352961,,,4.39982167334802,105962.0,588.677777777778,76.072,,3276184357.5419,40379.2937237331,30918.483584133,,,
Aruba,ABW,2017,-1.02828178762012,,,5.25337330818787,105439.0,585.772222222222,75.903,,3092429050.27933,38697.9495072882,29329.0817465959,,,
Aruba,ABW,2016,-0.931195987079561,,,0.92339797912293,104874.0,582.633333333333,75.617,,2983635195.53073,37444.4410939295,28449.7129463044,,,
Aruba,ABW,2015,0.474763597342641,,,-0.907264204095974,104257.0,579.205555555556,75.683,,2962907262.56983,37231.9184954158,28419.2645344661,,,
Aruba,ABW,2014,0.421440918881214,,,7.46525460335853,103594.0,575.522222222222,75.601,1.93061374210862,2790849720.67039,36763.2090049195,26940.2641144313,,,
Australia,AUS,2023,5.5970149253731,3.667,,1.89953470208772,26638544.0,,,,1723827215334.71,69114.7378945066,64711.7656030565,,,
Australia,AUS,2022,6.59409671341846,3.701,57.9747482128782,4.05669357875421,26014399.0,,83.2,,1692956646855.7,65365.948511045,65077.676668821,,,
Australia,AUS,2021,2.86391042204994,5.116,69.9077170244066,1.78341600361351,25685412.0,3.33922844714392,83.3,0.744567483256587,1559033756285.13,57406.1787604549,60697.2454358579,,,
Australia,AUS,2020,0.846905537459305,6.456,69.2190559498699,1.19074395815641,25649248.0,3.33452695130798,83.2,0.860925458639047,1330381544909.3,54064.0794661947,51868.2475567823,,0.770239531993866,
Australia,AUS,2019,1.61076787290379,5.159,60.141986685415,2.77808318991818,25334826.0,3.29365056253104,82.9,0.887322993851443,1394671325960.57,52746.7182896307,55049.571919719,,,
Australia,AUS,2018,1.91140094445691,5.3,54.429696919754,4.24461148816089,24963258.0,3.24534491589985,82.7487804878049,0.884735037869462,1429733668185.91,50251.3353381469,57273.5204750079,34.3,0.780833959579468,
Australia,AUS,2017,1.94864740944527,5.592,53.2642217874726,3.63252860709497,24592588.0,3.19715601363491,82.5,0.84586083389231,1326882104817.0,48418.558421681,53954.553494614,,0.803,
Australia,AUS,2016,1.27699094497324,5.711,54.6443021310045,3.55837243877673,24190907.0,3.14493553058884,82.4487804878049,0.938183172742481,1207580901578.72,47289.2859136343,49918.7939327254,33.7,,
Australia,AUS,2015,1.50836672165921,6.055,46.4657885326389,3.46899584699556,23815995.0,3.10011259648803,82.4,0.990754226978393,1351768945139.11,46292.0954391179,56758.8692027821,,,
Australia,AUS,2014,2.48792270531404,6.078,41.7128890194693,4.30373251830494,23475686.0,3.05581479504836,82.3,1.03538284526998,1468597690006.22,46914.3867078836,62558.2438786332,34.4,,
Austria,AUT,2023,7.81413417002832,5.243,,-0.129443301575157,9132383.0,,,,516034144115.95,73751.35270638,56505.9682796867,,,
Austria,AUT,2022,8.5468699318845,4.992,75.0511764249729,2.14769868488775,9041851.0,,81.0926829268293,,470941926750.741,70975.7206346934,52084.6811953372,,,
Austria,AUT,2021,2.7666666666667,6.459,94.6386773592887,3.70886934393561,8955797.0,108.528805138148,81.190243902439,0.728529506902089,479295362747.047,63421.2035870778,53517.8904509612,30.7,,
Austria,AUT,2020,1.38191063351862,5.201,99.9069018788335,-2.85782199061955,8916864.0,108.057004362579,81.1926829268293,0.729699452512114,435049316955.737,58610.8343636691,48789.4978498872,29.8,0.746739745140076,
Austria,AUT,2019,1.53089564152644,4.56,83.1199712126882,-2.78770571216157,8879920.0,107.609306834707,81.8951219512195,0.867123024880969,444596155845.254,60574.6271030491,50067.5857265892,30.2,,
Austria,AUT,2018,1.9983798142954,4.933,84.2154918852706,-6.2871015854224,8840521.0,107.131858943286,81.6926829268293,0.972794280874553,454991174096.102,56937.944282984,51466.5565633634,30.8,0.768673121929169,
Austria,AUT,2017,2.08126911385587,5.561,89.4054088474265,3.23990497953366,8797566.0,106.61131846825,81.6439024390244,0.795680952852948,417261151844.977,54172.9867888254,47429.1584564387,29.7,0.793,
Austria,AUT,2016,0.891591752655362,6.064,94.6946369620698,-7.31091695803709,8736668.0,105.873339796413,81.6414634146342,0.618097446839757,395837353031.499,52684.0171130768,45307.5878620429,30.8,,
Austria,AUT,2015,0.89656333526032,5.802,95.0842658810954,-2.08805653898309,8642699.0,104.734597673291,81.190243902439,0.509116600545148,381971148530.543,49865.9039424185,44195.8175947748,30.5,,
Austria,AUT,2014,1.60581182954474,5.674,95.7996292737297,0.386858115054066,8546356.0,103.567086766844,81.490243902439,0.491454225339134,442584815286.034,48799.7154676985,51786.3771747905,30.5,,
Azerbaijan,AZE,2023,8.78543049849081,5.636,,0.349432505050587,10112555.0,,,,72356176470.5882,23685.5386398553,7155.08360355897,,,
Azerbaijan,AZE,2022,13.8522590144267,5.65,,-5.67773710614177,10141756.0,,73.488,,78807470588.2353,22533.4940568508,7770.594223351,,,15277053817.9
Azerbaijan,AZE,2021,6.65029912708779,6.04,16.8684980773192,-3.11473447263613,10137750.0,122.658802177858,69.366,1.91021189583004,54825411764.7059,20111.3756952109,5408.04535175023,,,15647994867.0
Azerbaijan,AZE,2020,2.75980947008127,7.24,22.2547572890445,1.18790387182911,10093121.0,122.124736829369,66.868,2.23627706150472,42693000000.0,15163.5703327282,4229.91064904503,,0.577767550945282,16478249028.4
Azerbaijan,AZE,2019,2.61057182799215,5.0,,3.12183056112494,10024283.0,121.280071139933,73.102,1.64178691697142,48174235294.1176,16675.3179361558,4805.75371765917,,,16539074382.0
Azerbaijan,AZE,2018,2.26854690373999,4.9,,2.97797589143235,9939771.0,120.25759188908,72.76,1.94040465710907,47112470051.7701,15282.9995232298,4739.7943123408,,0.62931215763092,16583157327.6
Azerbaijan,AZE,2017,12.9359184187335,5.0,,7.01669598350389,9854033.0,119.208741622511,72.248,1.80706736101741,40866627351.9817,14315.929643106,4147.1981423222,,0.597,15439551135.3
Azerbaijan,AZE,2016,12.4433748584372,5.0,,11.8828171505465,9757812.0,118.033288980283,72.004,1.69402364496151,37866996882.9157,14535.8020210633,3880.6852276838,,,14608834693.7
Azerbaijan,AZE,2015,4.02768573742726,4.96,,7.62606837682972,9649341.0,116.731076781631,71.451,2.13920441872443,53076235354.746,15075.2726347911,5500.50364628486,,,13337861419.9
Azerbaijan,AZE,2014,1.37344181533176,4.91,,5.88846176710651,9535079.0,115.348813858679,71.116,2.42253022914826,75239785452.1022,17563.6122454385,7890.84028062087,,,12117384320.8
"Bahamas, The",BHS,2023,3.05291578969743,9.198,,10.1754018900164,412623.0,,,,14338500000.0,35554.7994806397,34749.6382896736,,,
"Bahamas, The",BHS,2022,5.60540633583044,9.87,82.1595539606932,4.04154829632738,409984.0,,74.358,,13136400000.0,33637.5047981819,32041.2503902591,,,
"Bahamas, The",BHS,2021,2.90491262928478,11.694,87.3903316559467,3.36940934585663,407906.0,40.7498501498501,71.598,29.1734237464315,11368900000.0,28510.9094889073,27871.3723259771,,,
